Baseline,PE,SC_PE
0.83552632,0.810179493,0.810179493
0.39349593,0.866013072,0.866013072
0.96243197,0.872252747,0.94217024
0.18058252,0.126512651,0.204994658
0.99902344,0.820059731,0.974657012
0.95776699,0.413411458,0.75
0.2991453,0.970804989,0.970804989
0.33660377,0.695452009,0.708096591
0.36987305,0.9733514,0.9733514
0.66666667,0.887107038,0.887107038
0.2976,0.75,0.72815534
0.55897887,0.974657012,0.974657012
0.99854227,0.970804989,0.970804989
0.39119945,0.751996451,0.846197289
0.29176471,0.785141867,0.857826087
0.81017949,0.974657012,0.974657012
0.33783784,0.83697479,0.733185841
0.82682292,0.778186275,0.778186275
0.38070437,0.965391621,0.965391621
0.65798733,0.970804989,0.970804989
0.50760582,0.965501792,0.965501792
0.67948718,0.866013072,0.866013072
0.6027027,0.965501792,0.965501792
0.75595238,0.862771739,0.55
0.26066351,0.436507937,0.512520044
0.86479592,0.728249194,0
0.44819277,0.981773908,0.182038835
0.99902344,0.974657012,0.974657012
0.66113946,0.94217024,0.94217024
0.99854227,0.970804989,0.970804989
0.39965986,0.75,0.92244898
0.34324597,0.846637228,0.846637228
0.90374751,0.785141867,0.785141867
0.34693878,0.854119426,0.854119426
0.87996206,0.889285714,0.889285714
0.25952744,0.89529454,0.89529454
0.7093444,0.697321615,0.697321615
0.65634552,0.260570305,0.983321949
0.99854227,0.817901235,0.817901235
0.78677399,0.746698679,0.746698679
0.39316239,0.873310363,0.873310363
0.88194444,0.846637228,0.862771739
0.7948023,0.058823529,0.058823529
0.99981778,0.77222906,0.856564748
0.64655172,0.631441839,0.631441839
0.29557292,0.780859375,0.045045045
0.44819277,0.771194307,0.691836735
0.99854227,0.881519274,0.881519274
0.33574225,0.59630102,0.59630102
0.33150364,0.891621313,0.891621313
0.45742754,0.654323585,0.730922804
0.29360465,0.119047619,0.119047619
0.48677249,0.775308095,0.741257097
0.25522088,0.403225806,0.403225806
0.2,0.977589909,0.297157623
0.67730978,0.426388889,0.446
0.54373522,0.94217024,0.94217024
0.38997133,0.651889263,0.642159573
0.85227273,0.390625,0.390625
0.68615385,0.202702703,0.238095238
0.47654356,0.628268189,0.613905206
0.51666667,0.093457944,0.63559322
0.29815051,0.292047184,0.292047184
0.90410276,0.66889881,0.886199731
0.95219333,0.932355967,0.932355967
0.99854227,0.072463768,0.970804989
0.99902344,0.810179493,0.974657012
0.47913223,0.591762487,0.591762487
0.56623932,0.67755102,0.67755102
0.32608696,0.702317964,0.535734511
0.29138682,0.038461538,0.804376315
0.81521739,0.974657012,0.974657012
0.48380191,0.477128783,0.035211268
0.96243197,0.94217024,0.94217024
0.99854227,0.970804989,0.970804989
0.40637684,0.953647143,0.953647143
0.52566698,0.416666667,0.416666667
0.24919496,0.018796992,0.188758389
0.58357412,0.877511498,0.051546392
0.96243197,0.94217024,0.94217024
0.99902344,0.974657012,0.974657012
0.9679878,0.974657012,0.974657012
0.10152284,0.104166667,0.104166667
0.79449153,0.420869565,0.420869565
0.20100503,0.671470905,0.665731838
0.22088353,0.182038835,0.182038835
0.15432099,0.755932203,0.755932203
0.50438596,0.350076104,0.752152713
0.9563253,0.933823529,0.933823529
0.99854227,0.970804989,0.881519274
0.99902344,0.06097561,0.06097561
0.76896552,0.663716814,0.663716814
0.50214823,0.974657012,0.974657012
0.52436709,0.708119658,0.702118644
0.09009009,0.064935065,0.482180294
0.99931413,0.977589909,0.977589909
0.97052585,0.981773908,0.981773908
0.25916108,0.9733514,0.9733514
0.88443082,0.872807902,0.981773908
0.99931413,0.977589909,0.977589909
0.47423071,0.829665199,0.829665199
0.42033898,0.660740741,0.660740741
0.06711409,0.73001355,0.73001355
0.81521739,0.94217024,0.94217024
0.99854227,0.970804989,0.970804989
0.99902344,0.974657012,0.974657012
0.63553292,0.759957746,0.759957746
0.78125,0.432363014,0.409902597
0.35162115,0.75667789,0.75667789
0.35971223,0.434782609,0.434782609
0.97052585,0.420694594,0.953647143
0.99854227,0.881519274,0.881519274
0.12,0.177990431,0.185074627
0.28378739,0.891621313,0.9733514
0.39555839,0.699266975,0.699266975
0.41894353,0.965501792,0.965501792
0.69621849,0.913761468,0.715384615
0.99902344,0.974657012,0.974657012
0.24678112,0.412838178,0.371199602
0.63568793,0.642248062,0.594315245
0.96243197,0.94217024,0.94217024
0.99854227,0.970804989,0.970804989
0.16103896,0.078740157,0.343262411
0.99902344,0.974657012,0.974657012
0.78869048,0.741296852,0.748587571
0.22079208,0.817901235,0.817901235
0.26910933,0.297581699,0.283782152
0.40637684,0.913911846,0.921591777
0.27931416,0.402253669,0.402253669
0.96243197,0.94217024,0.94217024
0.61944444,0.970804989,0.970804989
0.99902344,0.891853933,0.68988465
0.6442577,0.878054926,0.8354309
0.61944444,0.817901235,0.817901235
0.42263191,0.42380838,0.539572304
0.67545171,0.689398894,0.689398894
0.96243197,0.82862367,0.735996526
0.99854227,0.970804989,0.970804989
0.99902344,0.908203125,0.974657012
0.33783784,0.810397554,0.655496767
0.84663723,0.977589909,0.60483871
0.34888889,0.801284522,0.820249836
0.7093444,0.905782976,0.905782976
0.43010375,0.245726496,0.182038835
0.96243197,0.210526316,0.210526316
0.99854227,0.970804989,0.970804989
0.14134276,0.432692308,0.29296875
0.99902344,0.974657012,0.974657012
0.25316456,0.494424574,0.655496767
