meteor,bert_f1,halluc,P_Hallucinatory,P_Bad,P_Good,P_Perfect
0.835526315789474,0.912550866603851,1,0.036301940645950985,0.015598562208547433,0.21315813295516617,0.7349413641903354
0.39349593495935,0.890865921974182,2/3,0.2202692408718921,0.07077409948153102,0.43902495779766265,0.26993170184891424
0.962431966016195,0.969804346561432,1,0.010493852009930844,0.004683749539334758,0.07699852363810963,0.9078238748126247
0.180582524271845,0.865506649017334,2/3,0.4769601606015931,0.09296631619529139,0.32730571314514456,0.10276781005797098
0.9990234375,1.0,1,0.006079614960907629,0.0027310741752080434,0.04651261238556337,0.9446766984783209
0.957766990291262,0.985880196094513,1,0.008617317122053323,0.003856749179159385,0.06435299504846577,0.9231729386503216
0.299145299145299,0.898285031318665,2/3,0.26958495890960454,0.0795250680945157,0.43031826477559093,0.22057170822028882
0.336603773584906,0.86983060836792,1,0.318990829207914,0.08601803267230568,0.41266309980701477,0.18232803831276556
0.369873046875,0.846490681171417,1,0.3605811771488503,0.08981584141755328,0.3933299957638128,0.15627298566978365
0.666666666666667,0.924695611000061,2/3,0.05813506231160726,0.02417871220384054,0.28913052145974144,0.6285557040248108
0.2976,0.889600574970245,2/3,0.2945395986140028,0.08308066188711843,0.42227341901414944,0.20010632048472932
0.558978873239437,0.897620916366577,2/3,0.11920566247678854,0.0451461945440467,0.40006152941890183,0.43558661356026296
0.998542274052478,0.999999940395355,1,0.006090956853139271,0.002736123911584124,0.046594307202416085,0.9445786120328605
0.391199448529412,0.885848999023438,2/3,0.23372340202945394,0.07339432186090086,0.43779519681850537,0.25508707929113983
0.291764705882353,0.833858013153076,0,0.4755259392969868,0.09299062222760696,0.32818424028927806,0.1032991981861282
0.810179493484141,0.925972938537598,1,0.03352341772521483,0.01446411070527813,0.20131311789890138,0.7506993536706057
0.337837837837838,0.917849183082581,2/3,0.19597408645941083,0.06558648231206049,0.43846468437581293,0.29997474685271575
0.826822916666667,0.943138957023621,1,0.02513460182560977,0.010979897046321418,0.16186244522848975,0.8020230558995791
