Hallucination Score,METEOR_Score,BERTScore_F1
1,0.8355263157894740,0.9125508666038510
2/3,0.39349593495935000,0.8908659219741820
1,0.9624319660161950,0.9698043465614320
2/3,0.18058252427184500,0.865506649017334
1,0.9990234375,1.0
1,0.9577669902912620,0.9858801960945130
2/3,0.29914529914529900,0.8982850313186650
1,0.3366037735849060,0.8698306083679200
1,0.36987304687500000,0.8464906811714170
2/3,0.6666666666666670,0.924695611000061
2/3,0.29760000000000000,0.8896005749702450
2/3,0.5589788732394370,0.8976209163665770
1,0.9985422740524780,0.9999999403953550
2/3,0.39119944852941200,0.8858489990234380
0,0.291764705882353,0.8338580131530760
1,0.8101794934841410,0.9259729385375980
2/3,0.33783783783783800,0.9178491830825810
1,0.8268229166666670,0.9431389570236210
2/3,0.38070436507936500,0.904137372970581
1,0.6579873328641800,0.910758912563324
2/3,0.5076058201058200,0.8948092460632320
0,0.6794871794871800,0.8964024186134340
1,0.6027027027027030,0.904647946357727
1/3,0.755952380952381,0.914525032043457
0,0.26066350710900500,0.8919653296470640
0,0.864795918367347,0.9672883152961730
2/3,0.44819277108433700,0.9057097434997560
1,0.9990234375,1.0
1,0.6611394557823130,0.9091214537620540
1,0.9985422740524780,0.9999999403953550
2/3,0.3996598639455780,0.9036911725997930
2/3,0.34324596774193600,0.871936559677124
2/3,0.9037475064120830,0.9606945514678960
2/3,0.34693877551020400,0.8706061244010930
2/3,0.8799620647608730,0.9008191227912900
1,0.2595274390243900,0.8567405343055730
2/3,0.7093444018731380,0.8968626260757450
1,0.6563455224725460,0.9455288648605350
1,0.9985422740524780,1.0000001192092900
1,0.7867739898989900,0.897549569606781
2/3,0.3931623931623930,0.8990903496742250
0,0.8819444444444440,0.9832336902618410
1,0.7948022959183670,0.9314305186271670
1,0.9998177842565600,1.0000001192092900
0,0.646551724137931,0.8917784094810490
2/3,0.29557291666666700,0.8863445520401000
2/3,0.44819277108433700,0.8935713171958920
1,0.9985422740524780,0.9999999403953550
2/3,0.3357422463113520,0.8780562877655030
1/3,0.33150363883064000,0.8695852160453800
0,0.4574275362318840,0.8874096870422360
1,0.2936046511627910,0.8832508325576780
2/3,0.48677248677248700,0.902240514755249
0,0.2552208835341370,0.8577563166618350
1,0.20000000000000000,0.8741737604141240
1,0.6773097826086960,0.89022296667099
1,0.5437352245862880,0.918723464012146
1,0.3899713299397350,0.8721856474876400
1,0.8522727272727270,0.9209314584732060
1,0.6861538461538460,0.91252601146698
2/3,0.4765435585999110,0.8978068828582760
0,0.5166666666666670,0.8867580890655520
0,0.2981505102040820,0.8496487736701970
1,0.9041027559546080,0.99061518907547
1,0.9521933280798530,0.9732379913330080
1,0.9985422740524780,1.0
1,0.9990234375,1.0
1,0.47913223140495900,0.9133960008621220
2/3,0.5662393162393160,0.8739445209503170
2/3,0.32608695652173900,0.8966114521026610
1/3,0.2913868224281280,0.8620498776435850
2/3,0.8152173913043480,0.9052231311798100
2/3,0.48380191237334100,0.957886815071106
1,0.9624319660161950,0.9628010392189030
1,0.9985422740524780,1.0
2/3,0.4063768399432740,0.9152159094810490
0,0.5256669780961280,0.8787581324577330
0,0.24919496487119400,0.8493342995643620
1,0.5835741178530780,0.8560567498207090
1,0.9624319660161950,0.9762125015258790
