Hallucination Score,METEOR_Score,BERTScore_F1
1,0.8101794934841410,0.9166682362556460
2/3,0.866013071895425,0.9505327939987180
1,0.8722527472527470,0.9426268339157100
2/3,0.12651265126512600,0.825402021408081
1,0.8200597312095570,0.9389462471008300
1,0.4134114583333330,0.9100525975227360
2/3,0.9708049886621320,0.9430714845657350
1,0.6954520089285710,0.9275336265563970
1,0.9733514001806690,0.9661484360694890
2/3,0.8871070383097880,0.9423203468322750
2/3,0.7500000000000000,0.9339576363563540
2/3,0.9746570121951220,0.9709229469299320
1,0.9708049886621320,0.9490671157836910
2/3,0.7519964507542150,0.9200994372367860
0,0.785141867013212,0.9359517693519590
1,0.9746570121951220,0.96974116563797
2/3,0.8369747899159670,0.9022300839424130
1,0.778186274509804,0.9084762930870060
2/3,0.9653916211293260,0.9512380957603460
1,0.9708049886621320,0.9497601985931400
2/3,0.9655017921146950,0.9655190706253050
0,0.866013071895425,0.9507571458816530
1,0.9655017921146950,0.9516657590866090
1/3,0.8627717391304350,0.9433184862136840
0,0.4365079365079370,0.897339940071106
0,0.728249194414608,0.8565357327461240
2/3,0.9817739079102720,0.9633833169937130
1,0.9746570121951220,0.9584475159645080
1,0.9421702404158550,0.9393155574798580
1,0.9708049886621320,0.95179283618927
2/3,0.7500000000000000,0.9397345185279850
2/3,0.8466372282608690,0.9658387303352360
2/3,0.785141867013212,0.9316706657409670
2/3,0.854119425547997,0.9473256468772890
2/3,0.8892857142857140,0.9629659056663510
1,0.8952945402298850,0.9300919771194460
2/3,0.6973216154007120,0.8902140855789190
1,0.2605703048180920,0.9048347473144530
1,0.8179012345679010,0.9421613216400150
1,0.7466986794717890,0.9143346548080440
2/3,0.8733103631062810,0.9514140486717220
0,0.8466372282608690,0.9324825406074520
1,0.058823529411764700,0.8123960494995120
1,0.7722290604302210,0.9060731530189510
0,0.6314418393929100,0.9284483790397640
2/3,0.780859375,0.8941650986671450
2/3,0.7711943069306930,0.9163672924041750
1,0.8815192743764170,0.9377554059028630
2/3,0.5963010204081630,0.9142789244651790
1/3,0.8916213129073440,0.9462918639183040
0,0.6543235851041450,0.9138162136077880
1,0.11904761904761900,0.8882930278778080
2/3,0.7753080948403700,0.9659971594810490
0,0.403225806451613,0.9261599779129030
1,0.977589908749329,0.9543386101722720
1,0.4263888888888890,0.9050776362419130
1,0.9421702404158550,0.94158935546875
1,0.6518892630003740,0.9192781448364260
1,0.39062500000000000,0.9031403660774230
1,0.2027027027027030,0.8850066065788270
2/3,0.6282681893649050,0.9401666522026060
0,0.09345794392523360,0.8447679877281190
0,0.2920471841704720,0.8709113597869870
1,0.6688988095238100,0.9051911234855650
1,0.9323559670781890,0.9355003237724300
1,0.07246376811594200,0.876882791519165
1,0.8101794934841410,0.9201777577400210
1,0.5917624865253330,0.9222258925437930
2/3,0.6775510204081630,0.8975169062614440
2/3,0.7023179642227260,0.9603550434112550
1/3,0.03846153846153850,0.8507237434387210
2/3,0.9746570121951220,0.9548134207725530
2/3,0.4771287825475020,0.9346747398376470
1,0.9421702404158550,0.9325100779533390
1,0.9708049886621320,0.9448530077934270
2/3,0.9536471433704640,0.9506221413612370
0,0.41666666666666700,0.8796343207359310
0,0.018796992481203000,0.8419477343559270
1,0.8775114984265310,0.9234021902084350
1,0.9421702404158550,0.9413340091705320
1,0.9746570121951220,0.9545484185218810
1,0.9746570121951220,0.9599718451499940
1/3,0.10416666666666700,0.8976953625679020
2/3,0.4208695652173910,0.8957588076591490
0,0.6714709051724140,0.8826391696929930
1/3,0.1820388349514560,0.8480231165885930
2/3,0.7559322033898310,0.9311681985855100
2/3,0.35007610350076100,0.8683159947395330
1,0.9338235294117650,0.9423878192901610
1,0.9708049886621320,0.9447240829467770
1,0.06097560975609760,0.8195117115974430
2/3,0.6637168141592920,0.9280063509941100
1,0.9746570121951220,0.9484789967536930
2/3,0.7081196581196580,0.8958090543746950
2/3,0.06493506493506490,0.8606316447258000
1,0.977589908749329,0.971859872341156
1,0.9817739079102720,0.9545780420303350
0,0.9733514001806690,0.9581055045127870
1,0.8728079016327360,0.921214759349823
1,0.977589908749329,0.9643546342849730
