Hallucination Score,METEOR_Score,BERTScore_F1
1,0.8101794934841410,0.9166682362556460
2/3,0.866013071895425,0.9505327939987180
1,0.9421702404158550,0.9361128807067870
2/3,0.20499465811965800,0.8537068963050840
1,0.9746570121951220,0.955975353717804
1,0.7500000000000000,0.9377191662788390
2/3,0.9708049886621320,0.9430714845657350
1,0.7080965909090910,0.9321671724319460
1,0.9733514001806690,0.9661484360694890
2/3,0.8871070383097880,0.9423203468322750
2/3,0.7281553398058250,0.9262468218803410
2/3,0.9746570121951220,0.9709229469299320
1,0.9708049886621320,0.9490671157836910
2/3,0.8461972891566270,0.9657178521156310
0,0.8578260869565220,0.9421916007995610
1,0.9746570121951220,0.96974116563797
2/3,0.7331858407079650,0.9381913542747500
1,0.778186274509804,0.9084762930870060
2/3,0.9653916211293260,0.9512380957603460
1,0.9708049886621320,0.9497601985931400
2/3,0.9655017921146950,0.9655190706253050
0,0.866013071895425,0.9507571458816530
1,0.9655017921146950,0.9516657590866090
1/3,0.5500000000000000,0.8904697299003600
0,0.5125200444060690,0.8912869095802310
0,0.0,0.8450657725334170
2/3,0.1820388349514560,0.8812059164047240
1,0.9746570121951220,0.9584475159645080
1,0.9421702404158550,0.9393155574798580
1,0.9708049886621320,0.95179283618927
2/3,0.9224489795918370,0.941101610660553
2/3,0.8466372282608690,0.9658387303352360
2/3,0.785141867013212,0.9316706657409670
2/3,0.854119425547997,0.9473256468772890
2/3,0.8892857142857140,0.9635499119758610
1,0.8952945402298850,0.9300919771194460
2/3,0.6973216154007120,0.8889715075492860
1,0.9833219489981790,0.9713478088378910
1,0.8179012345679010,0.9421613216400150
1,0.7466986794717890,0.9143346548080440
2/3,0.8733103631062810,0.9514140486717220
0,0.8627717391304350,0.9549477696418760
1,0.058823529411764700,0.8123960494995120
1,0.8565647482014390,0.9508711695671080
0,0.6314418393929100,0.9284483790397640
2/3,0.04504504504504500,0.8281357288360600
2/3,0.6918367346938780,0.9098196029663090
1,0.8815192743764170,0.9377554059028630
2/3,0.5963010204081630,0.9142789244651790
1/3,0.8916213129073440,0.9462918639183040
0,0.7309228039041700,0.9245443344116210
1,0.11904761904761900,0.8882930278778080
2/3,0.7412570967850300,0.958804726600647
0,0.403225806451613,0.9261599779129030
1,0.297157622739018,0.8712804317474370
1,0.446,0.9052190184593200
1,0.9421702404158550,0.94158935546875
1,0.6421595725078310,0.9142954349517820
1,0.39062500000000000,0.9031403660774230
1,0.2380952380952380,0.9126161932945250
2/3,0.6139052064054080,0.9519630074501040
0,0.6355932203389830,0.8838145136833190
0,0.2920471841704720,0.8720239400863650
1,0.8861997310842200,0.9482365250587460
1,0.9323559670781890,0.9355003237724300
1,0.9708049886621320,0.9517042636871340
1,0.9746570121951220,0.9596337080001830
1,0.5917624865253330,0.9222258925437930
2/3,0.6775510204081630,0.8975169062614440
2/3,0.5357345112696800,0.9095331430435180
1/3,0.8043763154759540,0.9163064360618590
2/3,0.9746570121951220,0.9548134207725530
2/3,0.035211267605633800,0.8233965039253240
1,0.9421702404158550,0.9325100779533390
1,0.9708049886621320,0.9448530077934270
2/3,0.9536471433704640,0.9506221413612370
0,0.41666666666666700,0.8796343207359310
0,0.18875838926174500,0.8513702750205990
1,0.05154639175257730,0.83579421043396
1,0.9421702404158550,0.9413340091705320
1,0.9746570121951220,0.9545484185218810
1,0.9746570121951220,0.9599718451499940
1/3,0.10416666666666700,0.8976953625679020
2/3,0.4208695652173910,0.8957588076591490
0,0.6657318376068380,0.8785788416862490
1/3,0.1820388349514560,0.8480231165885930
2/3,0.7559322033898310,0.9310084581375120
2/3,0.7521527129370270,0.9373106956481930
1,0.9338235294117650,0.9423878192901610
1,0.8815192743764170,0.9379913210868840
1,0.06097560975609760,0.8195117115974430
2/3,0.6637168141592920,0.9280063509941100
1,0.9746570121951220,0.9484789967536930
2/3,0.7021186440677970,0.8944587707519530
2/3,0.48218029350104800,0.8754087686538700
1,0.977589908749329,0.971859872341156
1,0.9817739079102720,0.9545780420303350
0,0.9733514001806690,0.9581055045127870
1,0.9817739079102720,0.9677888751029970
1,0.977589908749329,0.9643546342849730
2/3,0.8296651994130990,0.95570307970047
